[54.94.243.208] out: servers started
[52.23.168.188] out: [11] synced transactions.
[52.23.168.188] out: timestampE (11, 1447168634.466024)
[52.33.208.21] out: [1] synced transactions.
[52.33.208.21] out: timestampE (1, 1447168634.463354)
[52.8.19.154] out: [6] synced transactions.
[52.8.19.154] out: timestampE (6, 1447168634.622576)
[52.16.85.22] out: [18] synced transactions.
[52.16.85.22] out: timestampE (18, 1447168634.366537)
[52.29.145.149] out: [22] synced transactions.
[52.29.145.149] out: timestampE (22, 1447168634.399859)
[52.91.78.88] out: [10] synced transactions.
[52.91.78.88] out: timestampE (10, 1447168634.491027)
[52.29.95.105] out: [23] synced transactions.
[52.29.95.105] out: timestampE (23, 1447168634.708017)
[52.26.214.226] out: [3] synced transactions.
[52.26.214.226] out: timestampE (3, 1447168634.574820)
[52.9.64.216] out: [4] synced transactions.
[52.9.64.216] out: timestampE (4, 1447168634.520303)
[52.29.43.33] out: [21] synced transactions.
[52.29.43.33] out: timestampE (21, 1447168634.431888)
[52.8.92.220] out: [7] synced transactions.
[52.8.92.220] out: timestampE (7, 1447168635.055072)
[52.69.80.131] out: [28] synced transactions.
[52.69.80.131] out: timestampE (28, 1447168634.572800)
[52.69.246.137] out: [31] synced transactions.
[52.69.246.137] out: timestampE (31, 1447168634.422128)
[54.209.228.153] out: [9] synced transactions.
[54.209.228.153] out: timestampE (9, 1447168635.234889)
[52.17.24.113] out: [17] synced transactions.
[52.17.24.113] out: timestampE (17, 1447168634.473857)
[54.208.194.6] out: [8] synced transactions.
[54.208.194.6] out: timestampE (8, 1447168634.488937)
[52.69.156.69] out: [30] synced transactions.
[52.69.156.69] out: timestampE (30, 1447168634.520438)
[52.19.164.11] out: [16] synced transactions.
[52.19.164.11] out: timestampE (16, 1447168635.326772)
[54.179.164.162] out: [25] synced transactions.
[54.179.164.162] out: timestampE (25, 1447168634.622961)
[54.179.157.121] out: [26] synced transactions.
[54.179.157.121] out: timestampE (26, 1447168634.648011)
[52.28.65.114] out: [20] synced transactions.
[52.28.65.114] out: timestampE (20, 1447168634.688017)
[52.9.72.86] out: [5] synced transactions.
[52.9.72.86] out: timestampE (5, 1447168634.904584)
[52.31.164.91] out: [19] synced transactions.
[52.31.164.91] out: timestampE (19, 1447168634.991200)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447168635.166812)
[52.192.140.223] out: [29] synced transactions.
[52.192.140.223] out: timestampE (29, 1447168635.785567)
[54.169.212.80] out: [27] synced transactions.
[54.169.212.80] out: timestampE (27, 1447168634.886534)
[54.233.97.117] out: [15] synced transactions.
[54.233.97.117] out: timestampE (15, 1447168635.541719)
[54.94.243.208] out: [14] synced transactions.
[54.94.243.208] out: timestampE (14, 1447168637.307755)
[54.232.199.192] out: [13] synced transactions.
[54.232.199.192] out: timestampE (13, 1447168637.333003)
[54.179.135.65] out: [24] synced transactions.
[54.179.135.65] out: timestampE (24, 1447168637.338268)
[54.207.93.82] out: [12] synced transactions.
[54.207.93.82] out: timestampE (12, 1447168637.543242)

[54.233.97.117] out: servers started
[52.24.127.191] out: got 4096 TXs
[52.24.127.191] out: timestampB (0, 1447168674.669104)
[52.33.208.21] out: got 4096 TXs
[52.33.208.21] out: timestampB (1, 1447168674.782666)
[52.27.237.141] out: got 4096 TXs
[52.27.237.141] out: timestampB (2, 1447168674.507896)
[52.8.92.220] out: got 4096 TXs
[52.8.92.220] out: timestampB (7, 1447168675.358073)
[52.8.19.154] out: got 4096 TXs
[52.8.19.154] out: timestampB (6, 1447168674.966645)
[52.9.72.86] out: got 4096 TXs
[52.9.72.86] out: timestampB (5, 1447168674.951173)
[52.26.214.226] out: got 4096 TXs
[52.26.214.226] out: timestampB (3, 1447168674.971594)
[52.9.64.216] out: got 4096 TXs
[52.9.64.216] out: timestampB (4, 1447168674.912883)
[52.23.168.188] out: got 4096 TXs
[52.23.168.188] out: timestampB (11, 1447168675.274270)
[54.209.228.153] out: got 4096 TXs
[54.209.228.153] out: timestampB (9, 1447168675.946651)
[52.91.78.88] out: got 4096 TXs
[52.91.78.88] out: timestampB (10, 1447168675.331176)
[54.208.194.6] out: got 4096 TXs
[54.208.194.6] out: timestampB (8, 1447168675.313247)
[52.192.140.223] out: got 4096 TXs
[52.192.140.223] out: timestampB (29, 1447168677.744652)
[52.16.85.22] out: got 4096 TXs
[52.16.85.22] out: timestampB (18, 1447168677.289135)
[52.69.80.131] out: got 4096 TXs
[52.69.80.131] out: timestampB (28, 1447168677.475858)
[52.19.164.11] out: got 4096 TXs
[52.19.164.11] out: timestampB (16, 1447168678.202975)
[52.69.156.69] out: got 4096 TXs
[52.69.156.69] out: timestampB (30, 1447168677.459095)
[52.31.164.91] out: got 4096 TXs
[52.31.164.91] out: timestampB (19, 1447168677.397882)
[52.29.43.33] out: got 4096 TXs
[52.29.43.33] out: timestampB (21, 1447168677.486567)
[52.69.246.137] out: got 4096 TXs
[52.69.246.137] out: timestampB (31, 1447168677.475023)
[52.28.65.114] out: got 4096 TXs
[52.28.65.114] out: timestampB (20, 1447168677.636679)
[52.17.24.113] out: got 4096 TXs
[52.17.24.113] out: timestampB (17, 1447168677.703933)
[52.29.95.105] out: got 4096 TXs
[52.29.95.105] out: timestampB (23, 1447168678.072418)
[52.29.145.149] out: got 4096 TXs
[52.29.145.149] out: timestampB (22, 1447168677.777671)
[54.179.157.121] out: got 4096 TXs
[54.179.157.121] out: timestampB (26, 1447168679.208922)
[54.169.212.80] out: got 4096 TXs
[54.169.212.80] out: timestampB (27, 1447168678.791667)
[54.179.135.65] out: got 4096 TXs
[54.179.135.65] out: timestampB (24, 1447168679.233753)
[54.179.164.162] out: got 4096 TXs
[54.179.164.162] out: timestampB (25, 1447168679.509436)
[54.232.199.192] out: got 4096 TXs
[54.232.199.192] out: timestampB (13, 1447168679.681964)
[54.94.243.208] out: got 4096 TXs
[54.94.243.208] out: timestampB (14, 1447168680.307277)
[54.207.93.82] out: got 4096 TXs
[54.207.93.82] out: timestampB (12, 1447168680.435584)
[54.233.97.117] out: got 4096 TXs
[54.233.97.117] out: timestampB (15, 1447168681.251230)
[52.23.168.188] out: [11] synced transactions.
[52.23.168.188] out: timestampE (11, 1447168697.103478)
[52.91.78.88] out: [10] synced transactions.
[52.16.85.22] out: [18] synced transactions.
[52.16.85.22] out: timestampE (18, 1447168697.048990)
[52.91.78.88] out: timestampE (10, 1447168697.143801)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447168697.088999)
[52.31.164.91] out: [19] synced transactions.
[52.31.164.91] out: timestampE (19, 1447168697.129504)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447168696.964079)
[54.179.164.162] out: [25] synced transactions.
[54.179.164.162] out: timestampE (25, 1447168697.265694)
[52.29.145.149] out: [22] synced transactions.
[52.29.145.149] out: timestampE (22, 1447168697.216479)
[52.29.95.105] out: [23] synced transactions.
[52.29.95.105] out: timestampE (23, 1447168697.527162)
[52.9.72.86] out: [5] synced transactions.
[52.9.72.86] out: timestampE (5, 1447168697.405061)
[52.9.64.216] out: [4] synced transactions.
[52.9.64.216] out: timestampE (4, 1447168697.366142)
[52.26.214.226] out: [3] synced transactions.
[52.26.214.226] out: timestampE (3, 1447168697.443930)
[52.8.92.220] out: [7] synced transactions.
[52.8.92.220] out: timestampE (7, 1447168697.898292)
[54.209.228.153] out: [9] synced transactions.
[54.209.228.153] out: timestampE (9, 1447168698.050799)
[52.8.19.154] out: [6] synced transactions.
[52.8.19.154] out: timestampE (6, 1447168697.509702)
[52.69.156.69] out: [30] synced transactions.
[52.69.156.69] out: timestampE (30, 1447168697.350190)
[52.29.43.33] out: [21] synced transactions.
[52.29.43.33] out: timestampE (21, 1447168697.321011)
[52.19.164.11] out: [16] synced transactions.
[52.19.164.11] out: timestampE (16, 1447168698.211020)
[52.17.24.113] out: [17] synced transactions.
[52.17.24.113] out: timestampE (17, 1447168697.458565)
[52.69.80.131] out: [28] synced transactions.
[52.69.80.131] out: timestampE (28, 1447168697.589001)
[52.192.140.223] out: [29] synced transactions.
[52.192.140.223] out: timestampE (29, 1447168698.084533)
[52.69.246.137] out: [31] synced transactions.
[52.69.246.137] out: timestampE (31, 1447168697.485050)
[54.179.157.121] out: [26] synced transactions.
[54.179.157.121] out: timestampE (26, 1447168697.587552)
[52.33.208.21] out: [1] synced transactions.
[52.33.208.21] out: timestampE (1, 1447168698.136561)
[54.179.135.65] out: [24] synced transactions.
[54.179.135.65] out: timestampE (24, 1447168698.124636)
[54.169.212.80] out: [27] synced transactions.
[54.169.212.80] out: timestampE (27, 1447168697.926545)
[54.207.93.82] out: [12] synced transactions.
[54.207.93.82] out: timestampE (12, 1447168698.879758)
[54.208.194.6] out: [8] synced transactions.
[54.208.194.6] out: timestampE (8, 1447168699.105897)
[52.28.65.114] out: [20] synced transactions.
[52.28.65.114] out: timestampE (20, 1447168699.480600)
[54.94.243.208] out: [14] synced transactions.
[54.94.243.208] out: timestampE (14, 1447168701.358545)
[54.232.199.192] out: [13] synced transactions.
[54.232.199.192] out: timestampE (13, 1447168700.987149)
[54.233.97.117] out: [15] synced transactions.
[54.233.97.117] out: timestampE (15, 1447168702.391227)

[54.208.194.6] out: servers started
[52.27.237.141] out: got 4096 TXs
[52.27.237.141] out: timestampB (2, 1447168720.901462)
[52.33.208.21] out: got 4096 TXs
[52.33.208.21] out: timestampB (1, 1447168721.215039)
[52.24.127.191] out: got 4096 TXs
[52.24.127.191] out: timestampB (0, 1447168721.151648)
[52.26.214.226] out: got 4096 TXs
[52.26.214.226] out: timestampB (3, 1447168721.348622)
[52.91.78.88] out: got 4096 TXs
[52.91.78.88] out: timestampB (10, 1447168721.338612)
[52.23.168.188] out: got 4096 TXs
[52.23.168.188] out: timestampB (11, 1447168721.646583)
[54.209.228.153] out: got 4096 TXs
[54.209.228.153] out: timestampB (9, 1447168722.413856)
[52.9.72.86] out: got 4096 TXs
[52.9.72.86] out: timestampB (5, 1447168722.090320)
[52.16.85.22] out: got 4096 TXs
[52.16.85.22] out: timestampB (18, 1447168722.139770)
[52.17.24.113] out: got 4096 TXs
[52.17.24.113] out: timestampB (17, 1447168722.226651)
[52.19.164.11] out: got 4096 TXs
[52.19.164.11] out: timestampB (16, 1447168723.031301)
[52.31.164.91] out: got 4096 TXs
[52.31.164.91] out: timestampB (19, 1447168722.197544)
[52.69.246.137] out: got 4096 TXs
[52.69.246.137] out: timestampB (31, 1447168722.310389)
[52.69.156.69] out: got 4096 TXs
[52.69.156.69] out: timestampB (30, 1447168722.508041)
[52.9.64.216] out: got 4096 TXs
[52.9.64.216] out: timestampB (4, 1447168722.617714)
[52.8.92.220] out: got 4096 TXs
[52.8.92.220] out: timestampB (7, 1447168723.129579)
[52.8.19.154] out: got 4096 TXs
[52.8.19.154] out: timestampB (6, 1447168722.823053)
[52.69.80.131] out: got 4096 TXs
[52.69.80.131] out: timestampB (28, 1447168722.778739)
[52.29.95.105] out: got 4096 TXs
[52.29.95.105] out: timestampB (23, 1447168722.960778)
[52.192.140.223] out: got 4096 TXs
[52.192.140.223] out: timestampB (29, 1447168723.242081)
[52.28.65.114] out: got 4096 TXs
[52.28.65.114] out: timestampB (20, 1447168722.768642)
[52.29.145.149] out: got 4096 TXs
[52.29.145.149] out: timestampB (22, 1447168722.848848)
[52.29.43.33] out: got 4096 TXs
[52.29.43.33] out: timestampB (21, 1447168723.023626)
[54.169.212.80] out: got 4095 TXs
[54.169.212.80] out: timestampB (27, 1447168723.900227)
[54.94.243.208] out: got 4096 TXs
[54.94.243.208] out: timestampB (14, 1447168725.176217)
[54.179.157.121] out: got 4096 TXs
[54.179.157.121] out: timestampB (26, 1447168724.898489)
[54.232.199.192] out: got 4096 TXs
[54.232.199.192] out: timestampB (13, 1447168725.020956)
[54.179.164.162] out: got 4096 TXs
[54.179.164.162] out: timestampB (25, 1447168725.010534)
[54.233.97.117] out: got 4096 TXs
[54.233.97.117] out: timestampB (15, 1447168725.120396)
[54.179.135.65] out: got 4096 TXs
[54.179.135.65] out: timestampB (24, 1447168725.097486)
[54.207.93.82] out: got 4096 TXs
[54.207.93.82] out: timestampB (12, 1447168725.343313)
[54.208.194.6] out: got 4096 TXs
[54.208.194.6] out: timestampB (8, 1447168725.458119)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447168742.859814)
[54.179.157.121] out: [26] synced transactions.
[54.179.157.121] out: timestampE (26, 1447168743.198795)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447168743.189296)
[54.179.164.162] out: [25] synced transactions.
[54.179.164.162] out: timestampE (25, 1447168743.229607)
[52.23.168.188] out: [11] synced transactions.
[52.23.168.188] out: timestampE (11, 1447168743.375149)
[52.29.95.105] out: [23] synced transactions.
[52.29.95.105] out: timestampE (23, 1447168743.609348)
[52.91.78.88] out: [10] synced transactions.
[52.91.78.88] out: timestampE (10, 1447168743.404458)
[52.8.19.154] out: [6] synced transactions.
[52.8.19.154] out: timestampE (6, 1447168743.612715)
[52.9.72.86] out: [5] synced transactions.
[52.9.72.86] out: timestampE (5, 1447168743.532887)
[52.33.208.21] out: [1] synced transactions.
[52.33.208.21] out: timestampE (1, 1447168743.468489)
[52.28.65.114] out: [20] synced transactions.
[52.28.65.114] out: timestampE (20, 1447168743.463195)
[52.9.64.216] out: [4] synced transactions.
[52.9.64.216] out: timestampE (4, 1447168743.498104)
[52.69.156.69] out: [30] synced transactions.
[52.69.156.69] out: timestampE (30, 1447168743.437658)
[52.69.246.137] out: [31] synced transactions.
[52.69.246.137] out: timestampE (31, 1447168743.368756)
[52.8.92.220] out: [7] synced transactions.
[52.8.92.220] out: timestampE (7, 1447168744.002129)
[52.26.214.226] out: [3] synced transactions.
[52.26.214.226] out: timestampE (3, 1447168743.566796)
[52.29.145.149] out: [22] synced transactions.
[52.29.145.149] out: timestampE (22, 1447168743.400096)
[52.16.85.22] out: [18] synced transactions.
[52.16.85.22] out: timestampE (18, 1447168743.392344)
[52.29.43.33] out: [21] synced transactions.
[52.29.43.33] out: timestampE (21, 1447168743.438562)
[52.69.80.131] out: [28] synced transactions.
[52.69.80.131] out: timestampE (28, 1447168743.593130)
[54.209.228.153] out: [9] synced transactions.
[54.209.228.153] out: timestampE (9, 1447168744.298127)
[52.192.140.223] out: [29] synced transactions.
[52.192.140.223] out: timestampE (29, 1447168744.295954)
[54.169.212.80] out: [27] synced transactions.
[54.169.212.80] out: timestampE (27, 1447168743.585958)
[54.208.194.6] out: [8] synced transactions.
[54.208.194.6] out: timestampE (8, 1447168744.099224)
[52.17.24.113] out: [17] synced transactions.
[52.17.24.113] out: timestampE (17, 1447168744.181971)
[54.179.135.65] out: [24] synced transactions.
[54.179.135.65] out: timestampE (24, 1447168744.037684)
[52.31.164.91] out: [19] synced transactions.
[52.31.164.91] out: timestampE (19, 1447168744.584439)
[52.19.164.11] out: [16] synced transactions.
[52.19.164.11] out: timestampE (16, 1447168745.807867)
[54.94.243.208] out: [14] synced transactions.
[54.94.243.208] out: timestampE (14, 1447168745.504187)
[54.207.93.82] out: [12] synced transactions.
[54.207.93.82] out: timestampE (12, 1447168745.772489)
[54.233.97.117] out: [15] synced transactions.
[54.233.97.117] out: timestampE (15, 1447168746.290801)
[54.232.199.192] out: [13] synced transactions.
[54.232.199.192] out: timestampE (13, 1447168746.252124)

[54.169.212.80] out: servers started
[52.9.64.216] out: got 4096 TXs
[52.9.64.216] out: timestampB (4, 1447168762.371366)
[52.8.19.154] out: got 4096 TXs
[52.8.19.154] out: timestampB (6, 1447168762.507347)
[52.8.92.220] out: got 4096 TXs
[52.8.92.220] out: timestampB (7, 1447168762.899023)
[52.33.208.21] out: got 4096 TXs
[52.33.208.21] out: timestampB (1, 1447168762.410271)
[52.23.168.188] out: got 4096 TXs
[52.23.168.188] out: timestampB (11, 1447168762.809458)
[54.209.228.153] out: got 4096 TXs
[54.209.228.153] out: timestampB (9, 1447168763.572968)
[52.27.237.141] out: got 4096 TXs
[52.27.237.141] out: timestampB (2, 1447168762.698082)
[52.91.78.88] out: got 4096 TXs
[52.91.78.88] out: timestampB (10, 1447168763.032955)
[52.9.72.86] out: got 4096 TXs
[52.9.72.86] out: timestampB (5, 1447168763.343012)
[52.24.127.191] out: got 4096 TXs
[52.24.127.191] out: timestampB (0, 1447168763.489004)
[52.26.214.226] out: got 4096 TXs
[52.26.214.226] out: timestampB (3, 1447168764.111467)
[52.31.164.91] out: got 4096 TXs
[52.31.164.91] out: timestampB (19, 1447168764.426221)
[52.19.164.11] out: got 4096 TXs
[52.19.164.11] out: timestampB (16, 1447168765.447837)
[52.17.24.113] out: got 4096 TXs
[52.17.24.113] out: timestampB (17, 1447168764.749828)
[54.208.194.6] out: got 4096 TXs
[54.208.194.6] out: timestampB (8, 1447168764.805945)
[52.69.246.137] out: got 4096 TXs
[52.69.246.137] out: timestampB (31, 1447168764.811350)
[52.29.145.149] out: got 4096 TXs
[52.29.145.149] out: timestampB (22, 1447168764.882751)
[52.192.140.223] out: got 4096 TXs
[52.192.140.223] out: timestampB (29, 1447168765.548288)
[52.29.43.33] out: got 4096 TXs
[52.29.43.33] out: timestampB (21, 1447168765.072546)
[52.28.65.114] out: got 4096 TXs
[52.28.65.114] out: timestampB (20, 1447168765.142449)
[52.29.95.105] out: got 4096 TXs
[52.29.95.105] out: timestampB (23, 1447168765.447362)
[52.16.85.22] out: got 4096 TXs
[52.16.85.22] out: timestampB (18, 1447168765.455711)
[52.69.80.131] out: got 4096 TXs
[52.69.80.131] out: timestampB (28, 1447168766.257711)
[54.179.157.121] out: got 4096 TXs
[54.179.157.121] out: timestampB (26, 1447168766.573195)
[54.233.97.117] out: got 4096 TXs
[54.233.97.117] out: timestampB (15, 1447168766.865595)
[52.69.156.69] out: got 4096 TXs
[52.69.156.69] out: timestampB (30, 1447168766.787430)
[54.179.164.162] out: got 4096 TXs
[54.179.164.162] out: timestampB (25, 1447168767.054568)
[54.232.199.192] out: got 4096 TXs
[54.232.199.192] out: timestampB (13, 1447168767.066091)
[54.207.93.82] out: got 4096 TXs
[54.207.93.82] out: timestampB (12, 1447168767.131368)
[54.179.135.65] out: got 4096 TXs
[54.179.135.65] out: timestampB (24, 1447168767.133990)
[54.94.243.208] out: got 4096 TXs
[54.94.243.208] out: timestampB (14, 1447168767.985255)
[54.169.212.80] out: got 4096 TXs
[54.169.212.80] out: timestampB (27, 1447168769.747491)
[52.23.168.188] out: [11] synced transactions.
[52.23.168.188] out: timestampE (11, 1447168785.273067)
[52.91.78.88] out: [10] synced transactions.
[52.91.78.88] out: timestampE (10, 1447168785.338431)
[52.17.24.113] out: [17] synced transactions.
[52.17.24.113] out: timestampE (17, 1447168785.290677)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447168785.050086)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447168785.330045)
[52.9.72.86] out: [5] synced transactions.
[52.9.72.86] out: timestampE (5, 1447168785.501154)
[52.28.65.114] out: [20] synced transactions.
[52.28.65.114] out: timestampE (20, 1447168785.401036)
[54.179.157.121] out: [26] synced transactions.
[54.179.157.121] out: timestampE (26, 1447168785.365167)
[52.9.64.216] out: [4] synced transactions.
[52.9.64.216] out: timestampE (4, 1447168785.458588)
[52.29.43.33] out: [21] synced transactions.
[52.29.43.33] out: timestampE (21, 1447168785.364622)
[52.69.246.137] out: [31] synced transactions.
[52.69.246.137] out: timestampE (31, 1447168785.367661)
[52.31.164.91] out: [19] synced transactions.
[52.31.164.91] out: timestampE (19, 1447168785.403468)
[54.208.194.6] out: [8] synced transactions.
[54.208.194.6] out: timestampE (8, 1447168785.453947)
[52.26.214.226] out: [3] synced transactions.
[52.26.214.226] out: timestampE (3, 1447168785.614442)
[52.69.80.131] out: [28] synced transactions.
[52.69.80.131] out: timestampE (28, 1447168785.585548)
[52.8.19.154] out: [6] synced transactions.
[52.8.19.154] out: timestampE (6, 1447168785.688358)
[52.19.164.11] out: [16] synced transactions.
[52.19.164.11] out: timestampE (16, 1447168786.299854)
[52.8.92.220] out: [7] synced transactions.
[52.8.92.220] out: timestampE (7, 1447168786.091524)
[54.232.199.192] out: [13] synced transactions.
[54.232.199.192] out: timestampE (13, 1447168785.630878)
[52.69.156.69] out: [30] synced transactions.
[52.69.156.69] out: timestampE (30, 1447168785.625543)
[52.16.85.22] out: [18] synced transactions.
[52.16.85.22] out: timestampE (18, 1447168785.707887)
[54.233.97.117] out: [15] synced transactions.
[54.233.97.117] out: timestampE (15, 1447168785.901307)
[52.192.140.223] out: [29] synced transactions.
[52.192.140.223] out: timestampE (29, 1447168786.562517)
[54.179.135.65] out: [24] synced transactions.
[54.179.135.65] out: timestampE (24, 1447168785.986933)
[54.209.228.153] out: [9] synced transactions.
[54.209.228.153] out: timestampE (9, 1447168786.985721)
[52.33.208.21] out: [1] synced transactions.
[52.33.208.21] out: timestampE (1, 1447168786.584527)
[54.207.93.82] out: [12] synced transactions.
[54.207.93.82] out: timestampE (12, 1447168786.740220)
[54.94.243.208] out: [14] synced transactions.
[54.94.243.208] out: timestampE (14, 1447168788.100634)
[52.29.145.149] out: [22] synced transactions.
[52.29.145.149] out: timestampE (22, 1447168788.206843)
[54.179.164.162] out: [25] synced transactions.
[54.179.164.162] out: timestampE (25, 1447168789.812095)
[54.169.212.80] out: [27] synced transactions.
[54.169.212.80] out: timestampE (27, 1447168789.666045)
[52.29.95.105] out: [23] synced transactions.
[52.29.95.105] out: timestampE (23, 1447168792.768003)

[54.233.97.117] out: servers started
[52.27.237.141] out: got 4096 TXs
[52.27.237.141] out: timestampB (2, 1447168874.900627)
[52.24.127.191] out: got 4096 TXs
[52.24.127.191] out: timestampB (0, 1447168875.136568)
[52.33.208.21] out: got 4096 TXs
[52.33.208.21] out: timestampB (1, 1447168875.236285)
[52.26.214.226] out: got 4096 TXs
[52.26.214.226] out: timestampB (3, 1447168875.333613)
[52.9.72.86] out: got 4096 TXs
[52.9.72.86] out: timestampB (5, 1447168875.365862)
[52.8.92.220] out: got 4096 TXs
[52.8.92.220] out: timestampB (7, 1447168875.816234)
[52.8.19.154] out: got 4096 TXs
[52.8.19.154] out: timestampB (6, 1447168875.434459)
[52.9.64.216] out: got 4096 TXs
[52.9.64.216] out: timestampB (4, 1447168875.506150)
[52.91.78.88] out: got 4096 TXs
[52.91.78.88] out: timestampB (10, 1447168875.764247)
[54.209.228.153] out: got 4096 TXs
[54.209.228.153] out: timestampB (9, 1447168876.432712)
[52.23.168.188] out: got 4096 TXs
[52.23.168.188] out: timestampB (11, 1447168875.754495)
[54.208.194.6] out: got 4096 TXs
[54.208.194.6] out: timestampB (8, 1447168875.724310)
[52.16.85.22] out: got 4096 TXs
[52.16.85.22] out: timestampB (18, 1447168877.546181)
[52.31.164.91] out: got 4096 TXs
[52.31.164.91] out: timestampB (19, 1447168877.752967)
[52.19.164.11] out: got 4096 TXs
[52.19.164.11] out: timestampB (16, 1447168878.660201)
[52.192.140.223] out: got 4096 TXs
[52.192.140.223] out: timestampB (29, 1447168878.395245)
[52.29.43.33] out: got 4096 TXs
[52.29.43.33] out: timestampB (21, 1447168877.903716)
[52.69.156.69] out: got 4096 TXs
[52.69.156.69] out: timestampB (30, 1447168877.978017)
[52.69.246.137] out: got 4096 TXs
[52.69.246.137] out: timestampB (31, 1447168877.888058)
[52.17.24.113] out: got 4096 TXs
[52.17.24.113] out: timestampB (17, 1447168877.942784)
[52.29.145.149] out: got 4096 TXs
[52.29.145.149] out: timestampB (22, 1447168878.013408)
[52.69.80.131] out: got 4096 TXs
[52.69.80.131] out: timestampB (28, 1447168878.254408)
[52.28.65.114] out: got 4096 TXs
[52.28.65.114] out: timestampB (20, 1447168878.203208)
[52.29.95.105] out: got 4096 TXs
[52.29.95.105] out: timestampB (23, 1447168878.519506)
[54.169.212.80] out: got 4096 TXs
[54.169.212.80] out: timestampB (27, 1447168879.358427)
[54.179.135.65] out: got 4096 TXs
[54.179.135.65] out: timestampB (24, 1447168879.677435)
[54.179.164.162] out: got 4096 TXs
[54.179.164.162] out: timestampB (25, 1447168879.957480)
[54.179.157.121] out: got 4096 TXs
[54.179.157.121] out: timestampB (26, 1447168880.186836)
[54.207.93.82] out: got 4096 TXs
[54.207.93.82] out: timestampB (12, 1447168880.330963)
[54.232.199.192] out: got 4096 TXs
[54.232.199.192] out: timestampB (13, 1447168880.758494)
[54.94.243.208] out: got 4096 TXs
[54.94.243.208] out: timestampB (14, 1447168881.265480)
